Id,Prediction
0,2055379.0
1,1882131.0
2,3028267.0
3,3745135.0
4,4952497.0
5,3600467.0
6,5166635.0
7,1756069.0
8,3727364.0
9,4780607.0
10,2267425.0
11,5161370.0
12,3347767.0
13,3347767.0
14,3752885.0
15,3784230.0
16,4554237.0
17,3570392.0
18,1734634.0
19,2058644.0
20,19696939.0
21,3903884.0
22,2364478.0
23,19696939.0
24,4467728.0
25,6836483.0
26,4067566.0
27,19696939.0
28,19696939.0
29,3752885.0
30,3818055.0
31,2344689.0
32,3982767.0
33,3445076.0
34,4316715.0
35,3745135.0
36,2371202.0
37,4350573.0
38,7592272.0
39,1882131.0
40,19696939.0
41,2156098.0
42,2267425.0
43,3810007.0
44,19696939.0
45,2732645.0
46,19696939.0
47,5444227.0
48,2083447.0
49,19696939.0
50,5906596.0
51,2058644.0
52,3939804.0
53,3745135.0
54,4758476.0
55,19696939.0
56,19696939.0
57,4350573.0
58,8630682.0
59,19696939.0
60,5787594.0
61,4590423.0
62,4882985.0
63,4758476.0
64,19696939.0
65,3810007.0
66,19696939.0
67,3784230.0
68,3903884.0
69,4263629.0
70,19696939.0
71,3570392.0
72,3745135.0
73,8213524.0
74,3818055.0
75,19696939.0
76,19696939.0
77,2083447.0
78,4155435.0
79,4952497.0
80,6941173.0
81,7495092.0
82,4882985.0
83,19696939.0
84,3727364.0
85,19696939.0
86,4067566.0
87,2025297.0
88,19696939.0
89,1904842.0
90,6941173.0
91,2267425.0
92,2025297.0
93,2058644.0
94,7495092.0
95,3426169.0
96,4100886.0
97,5444227.0
98,8213524.0
99,9652350.0
100,3445076.0
101,2792031.0
102,4350573.0
103,19696939.0
104,19696939.0
105,4100886.0
106,19696939.0
107,3445076.0
108,3727364.0
109,4350573.0
110,4952255.0
111,2058644.0
112,2018785.0
113,19696939.0
114,19696939.0
115,3745135.0
116,19696939.0
117,2097022.0
118,2025297.0
119,2551252.0
120,3727364.0
121,3727364.0
122,19696939.0
123,19696939.0
124,2344689.0
125,2156098.0
126,19696939.0
127,19696939.0
128,2383840.0
129,4758476.0
130,19696939.0
131,2551252.0
132,3199619.0
133,4100886.0
134,4758476.0
135,2344689.0
136,3199619.0
137,6363241.0
138,2058644.0
139,6363241.0
140,3903884.0
141,6363241.0
142,6363241.0
143,3818055.0
144,3745135.0
145,4882985.0
146,6363241.0
147,3199619.0
148,2018785.0
149,3199619.0
150,3600467.0
151,6363241.0
152,2018785.0
153,4554237.0
154,6363241.0
155,6363241.0
156,3199619.0
157,3199619.0
158,3199619.0
159,4467728.0
160,3199619.0
161,3199619.0
162,6363241.0
163,3199619.0
164,6363241.0
165,3199619.0
166,4100886.0
167,2740687.0
168,2025297.0
169,4467728.0
170,6363241.0
171,2344689.0
172,3745135.0
173,3810007.0
174,6363241.0
175,4467728.0
176,3199619.0
177,2267425.0
178,3199619.0
179,2738052.0
180,6363241.0
181,6363241.0
182,6363241.0
183,6363241.0
184,2344689.0
185,6363241.0
186,6363241.0
187,3199619.0
188,3199619.0
189,3199619.0
190,3199619.0
191,5906596.0
192,3818055.0
193,3199619.0
194,4316715.0
195,3199619.0
196,4100886.0
197,4467728.0
198,3982767.0
199,6363241.0
200,4250758.0
201,6363241.0
202,6363241.0
203,6363241.0
204,6363241.0
205,3445076.0
206,3445076.0
207,6363241.0
208,4705945.0
209,6363241.0
210,3199619.0
211,6363241.0
212,6363241.0
213,2025297.0
214,3199619.0
215,6363241.0
216,3982767.0
217,2999068.0
218,6363241.0
219,6363241.0
220,6363241.0
221,6363241.0
222,3199619.0
223,6363241.0
224,3982767.0
225,4100886.0
226,3199619.0
227,6363241.0
228,1882131.0
229,3199619.0
230,2267425.0
231,2267425.0
232,2267425.0
233,6363241.0
234,6363241.0
235,6363241.0
236,2267425.0
237,6363241.0
238,2267425.0
239,3164972.0
240,3199619.0
241,6363241.0
242,6363241.0
243,1882131.0
244,2267425.0
245,3199619.0
246,2097022.0
247,3199619.0
248,6363241.0
249,6363241.0
250,2058644.0
251,3199619.0
252,3600467.0
253,3199619.0
254,3199619.0
255,3727364.0
256,4067566.0
257,6363241.0
258,2083447.0
259,6363241.0
260,6363241.0
261,3199619.0
262,3028267.0
263,1882131.0
264,5444227.0
265,3199619.0
266,2018785.0
267,3810007.0
268,3452382.0
269,4467728.0
270,2083447.0
271,6363241.0
272,3903884.0
273,3199619.0
274,3199619.0
275,3199619.0
276,3810007.0
277,6363241.0
278,6363241.0
279,4705945.0
280,1882131.0
281,6363241.0
282,6363241.0
283,6363241.0
284,2344689.0
285,2021934.0
286,4758476.0
287,4100886.0
288,6363241.0
289,2058644.0
290,4100886.0
291,3199619.0
292,4952497.0
293,3199619.0
294,6363241.0
295,3903884.0
296,3199619.0
297,4316715.0
298,2097022.0
299,3784230.0
300,6363241.0
301,5906596.0
302,2267425.0
303,6363241.0
304,4100886.0
305,2551252.0
306,3982767.0
307,3199619.0
308,6363241.0
309,6363241.0
310,6363241.0
311,6363241.0
312,6363241.0
313,4250758.0
314,2025297.0
315,1904842.0
316,2058644.0
317,3199619.0
318,4952255.0
319,4651866.0
320,2058644.0
321,3570392.0
322,3818055.0
323,3028267.0
324,3199619.0
325,3426169.0
326,3199619.0
327,6363241.0
328,6363241.0
329,6363241.0
330,3199619.0
331,3199619.0
332,3199619.0
333,3199619.0
334,3903884.0
335,3199619.0
336,3982767.0
337,6363241.0
338,2740687.0
339,2544857.0
340,2156098.0
341,3778621.0
342,2267425.0
343,3778621.0
344,3445076.0
345,3351383.0
346,3028267.0
347,4651866.0
348,5906596.0
349,6363241.0
350,3199619.0
351,3810007.0
352,3199619.0
353,3199619.0
354,6363241.0
355,2058644.0
356,4067566.0
357,2025297.0
358,4952255.0
359,3199619.0
360,3570392.0
361,6363241.0
362,6363241.0
363,2364478.0
364,3199619.0
365,6363241.0
366,6363241.0
367,2097022.0
368,5787594.0
369,2025297.0
370,3199619.0
371,3199619.0
372,6363241.0
373,2018785.0
374,3199619.0
375,3199619.0
376,6363241.0
377,6363241.0
378,3199619.0
379,6363241.0
380,4350573.0
381,2267425.0
382,4467728.0
383,4758476.0
384,2058644.0
385,3903884.0
386,3199619.0
